wallet,label,quality,depth,liquidation,age,activity,volume,utilization,handP,events,closed,open
0xa2e74c99EC6507FfD22Fb7A5B4248EA9fC82d00a,1,0.6,0,0,0.203107,0.019607,0.098936,0.354422,0.35492,1,0,1
0x6bA82C40d6A9877A6B57d4F60E51599a21DD4B61,1,0.6,0,0,0.872914,0.019607,0,0.000999,0.527992,1,0,1
0xeE474afC815d419e99f127cd385dAA93eb453a20,1,0.6,0,0,0.851085,0.019607,0.000199,0.000999,0.52311,1,0,1
0x83b80555e4e9c5F5c39EBCbeAAd3222BFA26DbBA,1,0.6,0,0,0.503418,0.074074,0.165554,0,0.464298,4,0,0
0x366Dc101aeDfdc1e6d1799F5A79FFd9E79394e1d,1,0.6,0,0,0.582409,0.107142,0.161777,0.400838,0.444716,6,0,1
0x2b5b22e8C9444a64e85546f7F161eA382e06F825,1,0.613711,0.010536,0,0.879178,0.166666,0.044707,0.001895,0.560219,10,1,2
0x19125E34336F85495fB968CC7B04304d2E7fd6E1,1,0.579258,0.010627,0.017588,0.761305,0.122807,0.023437,0.023437,0.487178,7,1,1
0xf30566c683f53eC182d253ceae17AE29cB69A35b,1,0.6,0,0,0.61665,0.038461,0.288458,0.669639,0.430835,2,0,1
0x8de9d26E6a6E3D6ED4D6ee1f16154D0b7C2D0d26,1,0.563765,0.018917,0.031135,0.885435,0.107142,0,0,0.495521,6,2,0
0xCF40F3B85e0D339Bc845043937D03D096EdEAa6c,1,0.6,0,0,0.587015,0.019607,0,0.000999,0.463758,1,0,1
0x9079447dD49450920dA4e7731C17625A2Cf662D2,1,0.6,0,0,0.860177,0.074074,0.006951,0,0.53059,4,0,0
0x2A051d878C09499554924B5ef492D3ED247e7805,1,0.23343,0.320239,0.439831,0.725053,0.390243,0.421564,0,0.161977,32,2,0
0x820CD3B6E4fCb5ac2F10738bfF5B8C242b41EC95,1,0.6,0,0,0.872525,0.019607,0,0.000999,0.527904,1,0,1
0x5EF43E50DeeE9Bc4215804Aa77C371778B7d08eC,1,0.788855,0.211562,0,0.69109,0.137931,0.74491,0.615098,0.707713,8,1,1
0xC4eCE72842df5b456780a30dFA21E798c4233e92,1,0.6,0,0,0.493499,0.038461,0.079698,0,0.451529,2,0,0
0x895938F36DC23b386702aB95e482f7925871AEf1,1,0.402892,0.127985,0.196539,0.560871,0.090909,0.076127,0.051233,0.247385,5,1,1
0xB44c79C6706c10842b177470564E73C9Da5Cd378,1,0.84284,0.316732,0,0.724687,0.468085,0.834847,0.437514,0.808776,44,1,1
0x4E4A22D6B195da0bEF7a5b18bDEf64c59104211f,1,0.608672,0.006604,0,0.64138,0.983509,0.999285,0.000992,0.651845,2982,1,1
0x0C59F6cE3A719797c1411B59Ef93690AC4D2B9E3,1,0.6,0,0,0.77928,0.137931,0.10778,0,0.526811,8,0,0
0xABB2A24F48DC313B74D3CF91c30E1f9D033033db,1,0.6,0,0,0.643311,0.152542,0.12816,0.371464,0.462233,9,0,2
0xF16678A0f3A1A0bD3ac6b386c547Ec933494B12B,1,0.6,0,0,0.868905,0.056603,0,0.002991,0.53012,3,0,3
0xFc3ba01C29B74D3388B2302b914e3C8328959B61,1,0.571644,0.014662,0.024201,0.858911,0.315068,0.581974,0,0.567678,23,6,0
0x8fB6f6E2b391f15cBa2f797c6583411992b17e39,1,0.596255,0.00188,0.00313,0.869252,0.107142,0,0.000999,0.530399,6,2,1
0x2d04C4167975C00D245Baa28071E411b60e201AB,1,0.865433,0.37176,0,0.720134,0.264705,0.92393,0.618291,0.812981,18,1,1
0x883fB88598149c0BA3FdD763A0dafa755289Ab2B,1,0.538721,0.032998,0.053812,0.785266,0.137931,0.093546,0,0.453795,8,1,0
